,predicted_prob
2014-01-13,0.02620433696287789
2014-01-14,0.02620433696287789
2014-01-15,0.02620433696287789
2014-01-16,0.02620433696287789
2014-01-17,0.02620433696287789
2014-01-21,0.02620433696287789
2014-01-22,0.02620433696287789
2014-01-23,0.02620433696287789
2014-01-24,0.02620433696287789
2014-01-27,0.02620433696287789
2014-01-28,0.02620433696287789
2014-01-29,0.02620433696287789
2014-01-30,0.02620433696287789
2014-01-31,0.02620433696287789
2014-02-03,0.02620433696287789
2014-02-04,0.02620433696287789
2014-02-05,0.02620433696287789
2014-02-06,0.02620433696287789
2014-02-07,0.02620433696287789
2014-02-10,0.02620433696287789
2014-02-11,0.02620433696287789
2014-02-12,0.02620433696287789
2014-02-13,0.02620433696287789
2014-02-14,0.02620433696287789
2014-02-18,0.02620433696287789
2014-02-19,0.02620433696287789
2014-02-20,0.02620433696287789
2014-02-21,0.02620433696287789
2014-02-24,0.02620433696287789
2014-02-25,0.02620433696287789
2014-02-26,0.02620433696287789
2014-02-27,0.02620433696287789
2014-02-28,0.02620433696287789
2014-03-03,0.02620433696287789
2014-03-04,0.02620433696287789
2014-03-05,0.02620433696287789
2014-03-06,0.02620433696287789
2014-03-07,0.02620433696287789
2014-03-10,0.02620433696287789
2014-03-11,0.02620433696287789
2014-03-12,0.02620433696287789
2014-03-13,0.02620433696287789
2014-03-14,0.02620433696287789
2014-03-17,0.02620433696287789
2014-03-18,0.02620433696287789
2014-03-19,0.02620433696287789
2014-03-20,0.02620433696287789
2014-03-21,0.02620433696287789
2014-03-24,0.02620433696287789
2014-03-25,0.02620433696287789
2014-03-26,0.02620433696287789
2014-03-27,0.02620433696287789
2014-03-28,0.02620433696287789
2014-03-31,0.02620433696287789
2014-04-01,0.02620433696287789
2014-04-02,0.02620433696287789
2014-04-03,0.02620433696287789
2014-04-04,0.02620433696287789
2014-04-07,0.02620433696287789
2014-04-08,0.02620433696287789
2014-04-09,0.02620433696287789
2014-04-10,0.02620433696287789
2014-04-11,0.02620433696287789
2014-04-14,0.02416674177975033
2014-04-15,0.02416674177975033
2014-04-16,0.02416674177975033
2014-04-17,0.02416674177975033
2014-04-21,0.02416674177975033
2014-04-22,0.02416674177975033
2014-04-23,0.02416674177975033
2014-04-24,0.02416674177975033
2014-04-25,0.02416674177975033
2014-04-28,0.02416674177975033
2014-04-29,0.02416674177975033
2014-04-30,0.02416674177975033
2014-05-01,0.02416674177975033
2014-05-02,0.02416674177975033
2014-05-05,0.02416674177975033
2014-05-06,0.02416674177975033
2014-05-07,0.02416674177975033
2014-05-08,0.02416674177975033
2014-05-09,0.02416674177975033
2014-05-12,0.02416674177975033
2014-05-13,0.02416674177975033
2014-05-14,0.02416674177975033
2014-05-15,0.02416674177975033
2014-05-16,0.02416674177975033
2014-05-19,0.02416674177975033
2014-05-20,0.02416674177975033
2014-05-21,0.02416674177975033
2014-05-22,0.02416674177975033
2014-05-23,0.02416674177975033
2014-05-27,0.02416674177975033
2014-05-28,0.02416674177975033
2014-05-29,0.02416674177975033
2014-05-30,0.02416674177975033
2014-06-02,0.02416674177975033
2014-06-03,0.02416674177975033
2014-06-04,0.02416674177975033
2014-06-05,0.02416674177975033
2014-06-06,0.02416674177975033
2014-06-09,0.02416674177975033
2014-06-10,0.02416674177975033
2014-06-11,0.02416674177975033
2014-06-12,0.02416674177975033
2014-06-13,0.02416674177975033
2014-06-16,0.02416674177975033
2014-06-17,0.02416674177975033
2014-06-18,0.02416674177975033
2014-06-19,0.02416674177975033
2014-06-20,0.02416674177975033
2014-06-23,0.02416674177975033
2014-06-24,0.02416674177975033
2014-06-25,0.02416674177975033
2014-06-26,0.02416674177975033
2014-06-27,0.02416674177975033
2014-06-30,0.02416674177975033
2014-07-01,0.02416674177975033
2014-07-02,0.02416674177975033
2014-07-03,0.02416674177975033
2014-07-07,0.02416674177975033
2014-07-08,0.02416674177975033
2014-07-09,0.02416674177975033
2014-07-10,0.02416674177975033
2014-07-11,0.02416674177975033
2014-07-14,0.02416674177975033
2014-07-15,0.02245493805688388
2014-07-16,0.02245493805688388
2014-07-17,0.02245493805688388
2014-07-18,0.02245493805688388
2014-07-21,0.02245493805688388
2014-07-22,0.02245493805688388
2014-07-23,0.02245493805688388
2014-07-24,0.02245493805688388
2014-07-25,0.02245493805688388
2014-07-28,0.02245493805688388
2014-07-29,0.02245493805688388
2014-07-30,0.02245493805688388
2014-07-31,0.02245493805688388
2014-08-01,0.02245493805688388
2014-08-04,0.02245493805688388
2014-08-05,0.02245493805688388
2014-08-06,0.02245493805688388
2014-08-07,0.02245493805688388
2014-08-08,0.02245493805688388
2014-08-11,0.02245493805688388
2014-08-12,0.02245493805688388
2014-08-13,0.02245493805688388
2014-08-14,0.02245493805688388
2014-08-15,0.02245493805688388
2014-08-18,0.02245493805688388
2014-08-19,0.02245493805688388
2014-08-20,0.02245493805688388
2014-08-21,0.02245493805688388
2014-08-22,0.02245493805688388
2014-08-25,0.02245493805688388
2014-08-26,0.02245493805688388
2014-08-27,0.02245493805688388
2014-08-28,0.02245493805688388
2014-08-29,0.02245493805688388
2014-09-02,0.02245493805688388
2014-09-03,0.02245493805688388
2014-09-04,0.02245493805688388
2014-09-05,0.02245493805688388
2014-09-08,0.02245493805688388
2014-09-09,0.02245493805688388
2014-09-10,0.02245493805688388
2014-09-11,0.02245493805688388
2014-09-12,0.02245493805688388
2014-09-15,0.02245493805688388
2014-09-16,0.02245493805688388
2014-09-17,0.02245493805688388
2014-09-18,0.02245493805688388
2014-09-19,0.02245493805688388
2014-09-22,0.02245493805688388
2014-09-23,0.02245493805688388
2014-09-24,0.02245493805688388
2014-09-25,0.02245493805688388
2014-09-26,0.02245493805688388
2014-09-29,0.02245493805688388
2014-09-30,0.02245493805688388
2014-10-01,0.02245493805688388
2014-10-02,0.02245493805688388
2014-10-03,0.02245493805688388
2014-10-06,0.02245493805688388
2014-10-07,0.02245493805688388
2014-10-08,0.02245493805688388
2014-10-09,0.02245493805688388
2014-10-10,0.02245493805688388
2014-10-13,0.030992086902880255
2014-10-14,0.02096960371387944
2014-10-15,0.030992086902880255
2014-10-16,0.030992086902880255
2014-10-17,0.02096960371387944
2014-10-20,0.02096960371387944
2014-10-21,0.02096960371387944
2014-10-22,0.02096960371387944
2014-10-23,0.02096960371387944
2014-10-24,0.02096960371387944
2014-10-27,0.02096960371387944
2014-10-28,0.02096960371387944
2014-10-29,0.02096960371387944
2014-10-30,0.02096960371387944
2014-10-31,0.02096960371387944
2014-11-03,0.02096960371387944
2014-11-04,0.02096960371387944
2014-11-05,0.02096960371387944
2014-11-06,0.02096960371387944
2014-11-07,0.02096960371387944
2014-11-10,0.02096960371387944
2014-11-11,0.02096960371387944
2014-11-12,0.02096960371387944
2014-11-13,0.02096960371387944
2014-11-14,0.02096960371387944
2014-11-17,0.02096960371387944
2014-11-18,0.02096960371387944
2014-11-19,0.02096960371387944
2014-11-20,0.02096960371387944
2014-11-21,0.02096960371387944
2014-11-24,0.02096960371387944
2014-11-25,0.02096960371387944
2014-11-26,0.02096960371387944
2014-11-28,0.02096960371387944
2014-12-01,0.02096960371387944
2014-12-02,0.02096960371387944
2014-12-03,0.02096960371387944
2014-12-04,0.02096960371387944
2014-12-05,0.02096960371387944
2014-12-08,0.02096960371387944
2014-12-09,0.02096960371387944
2014-12-10,0.02096960371387944
2014-12-11,0.02096960371387944
2014-12-12,0.02096960371387944
2014-12-15,0.02096960371387944
2014-12-16,0.030992086902880255
2014-12-17,0.02096960371387944
2014-12-18,0.02096960371387944
2014-12-19,0.02096960371387944
2014-12-22,0.02096960371387944
2014-12-23,0.02096960371387944
2014-12-24,0.02096960371387944
2014-12-26,0.02096960371387944
2014-12-29,0.02096960371387944
2014-12-30,0.02096960371387944
2014-12-31,0.02096960371387944
2015-01-02,0.02096960371387944
2015-01-05,0.02096960371387944
2015-01-06,0.02096960371387944
2015-01-07,0.02096960371387944
